165737,165880,0,0,0,0
165747,165868,0,0,0,0
165749,165880,0,0,0,0
165780,165879,0,0,0,0
165813,165879,0,0,0,0
165824,165899,0,0,0,0
165825,165899,0,0,0,0
165868,165876,2,165747,165883,0
165875,166192,0,0,0,0
165876,166192,2,165868,165934,0
165879,165983,2,165780,165813,0
165880,165983,2,165737,165749,0
165883,165868,0,0,0,0
165899,165933,2,165824,165825,0
165932,166008,0,0,0,0
165933,166008,2,165899,166009,0
165934,165876,2,165968,165973,0
165942,166109,0,0,0,0
165968,165934,0,0,0,0
165973,165934,0,0,0,0
165980,166009,0,0,0,0
165982,166231,0,0,0,0
165983,166231,2,165879,165880,0
166002,166009,2,166003,166073,0
166003,166002,0,0,0,0
166008,166014,2,165932,165933,0
166009,165933,2,165980,166002,0
166013,166072,0,0,0,0
166014,166072,2,166008,166119,0
166017,166109,0,0,0,0
166072,166100,2,166013,166014,0
166073,166002,0,0,0,0
166078,166100,0,0,0,0
166097,166177,0,0,0,0
166098,166232,0,0,0,0
166100,166177,2,166072,166078,0
166109,166232,2,165942,166017,0
166119,166014,0,0,0,0
166156,166313,0,0,0,0
166176,166314,0,0,0,0
166177,166314,2,166097,166100,0
166182,166253,0,0,0,0
166183,166253,0,0,0,0
166185,166313,0,0,0,0
166192,166297,2,165875,165876,0
166194,166216,0,0,0,0
166206,166216,0,0,0,0
166216,166360,2,166194,166206,0
166217,166360,0,0,0,0
166231,166252,2,165982,165983,0
166232,166252,2,166098,166109,0
166252,166782,2,166231,166232,0
166253,166305,2,166182,166183,0
166266,166297,0,0,0,0
166267,166782,0,0,0,0
166279,166539,0,0,0,0
166280,166539,0,0,0,0
166297,166305,2,166192,166266,0
166305,166385,2,166253,166297,0
166313,166552,2,166156,166185,0
166314,166552,2,166176,166177,0
166327,166375,0,0,0,0
166328,166375,0,0,0,0
166360,166366,2,166216,166217,0
166366,166747,2,166360,166451,0
166370,166418,0,0,0,0
166375,166690,2,166327,166328,0
166385,166690,2,166305,166469,0
166416,166494,0,0,0,0
166418,166463,2,166370,166435,0
166435,166418,0,0,0,0
166444,166818,0,0,0,0
166450,166451,0,0,0,0
166451,166366,2,166450,166564,0
166452,166818,0,0,0,0
166462,166494,2,166463,166579,0
166463,166462,2,166418,166519,0
166469,166385,2,166613,166709,0
166470,166523,0,0,0,0
166472,166747,0,0,0,0
166478,166574,0,0,0,0
166482,166571,0,0,0,0
166494,166523,2,166416,166462,0
166514,166819,0,0,0,0
166515,166819,0,0,0,0
166519,166463,2,166568,166697,0
166522,166574,2,166523,166616,0
166523,166522,2,166470,166494,0
166529,166614,0,0,0,0
166538,166573,0,0,0,0
166539,166573,2,166279,166280,0
166547,166900,0,0,0,0
166552,166748,2,166313,166314,0
166555,166748,0,0,0,0
166564,166451,0,0,0,0
166568,166519,0,0,0,0
166570,166614,2,166571,166718,0
166571,166570,2,166482,166574,0
166572,166914,0,0,0,0
166573,166914,2,166538,166539,0
166574,166571,2,166478,166522,0
166579,166462,0,0,0,0
166613,166469,2,166614,166734,0
166614,166613,2,166529,166570,0
166615,166900,0,0,0,0
166616,166522,0,0,0,0
166690,166702,2,166375,166385,0
166697,166519,0,0,0,0
166702,166982,2,166690,166704,0
166704,166702,0,0,0,0
166709,166469,0,0,0,0
166713,166796,0,0,0,0
166718,166570,2,166777,166839,0
166734,166613,0,0,0,0
166747,167231,2,166366,166472,0
166748,167231,2,166552,166555,0
166769,166796,0,0,0,0
166777,166718,2,166842,166965,0
166782,166937,2,166252,166267,0
166794,166937,2,166796,166921,0
166796,166794,2,166713,166769,0
166818,166908,2,166444,166452,0
166819,166908,2,166514,166515,0
166835,166854,0,0,0,0
166836,166854,0,0,0,0
166839,166718,2,166895,167326,0
166842,166777,0,0,0,0
166854,167486,2,166835,166836,0
166866,167486,0,0,0,0
166868,166869,0,0,0,0
166869,166982,2,166868,167090,0
166887,166899,0,0,0,0
166892,166896,0,0,0,0
166895,166839,2,166896,167102,0
166896,166895,2,166892,166964,0
166899,166928,2,166887,166912,0
166900,166928,2,166547,166615,0
166908,166929,2,166818,166819,0
166912,166899,2,166915,166963,0
166914,167248,2,166572,166573,0
166915,166912,0,0,0,0
166918,167248,0,0,0,0
166921,166794,0,0,0,0
166928,167240,2,166899,166900,0
166929,167240,2,166908,166936,0
166936,166929,2,166937,167346,0
166937,166936,2,166782,166794,0
166963,166912,0,0,0,0
166964,166896,0,0,0,0
166965,166777,2,167022,167046,0
166982,167068,2,166702,166869,0
166988,167068,0,0,0,0
167022,166965,2,167088,167123,0
167046,166965,0,0,0,0
167068,167075,2,166982,166988,0
167075,167129,2,167068,167223,0
167076,167129,0,0,0,0
167088,167022,0,0,0,0
167090,166869,0,0,0,0
167102,166895,0,0,0,0
167123,167022,2,167313,167327,0
167129,167272,2,167075,167076,0
