DrainLnID,area_sqm,lon_index,lat_index,npoints
165883,37297.4381,127,411,26
165883,1483620.357,125,411,26
165883,21698374.89,127,410,26
165883,46480704.42,126,410,26
165883,46507642.19,125,410,26
165899,28725202.14,88,411,10
165899,223709.9037,91,409,10
165899,27413940.96,90,409,10
165899,29636570.35,89,409,10
165899,1576340.981,88,409,10
165899,26805039,89,411,10
165899,40870003.45,89,410,10
165899,14154444.74,88,410,10
165899,4812309.156,90,410,10
165899,12067892.72,88,412,10
165932,17900793.58,88,411,8
165932,10624079.41,88,409,8
165932,16419489.4,87,409,8
165932,33459959.9,87,411,8
165932,32328367.45,88,410,8
165932,26282674.97,87,410,8
165932,14603328.37,88,412,8
165932,12480619.78,87,412,8
165933,12025476.15,88,408,6
165933,880228.6808,89,409,6
165933,34230346.77,88,409,6
165933,20710.32181,87,409,6
165933,122183.5211,89,408,6
165933,132577.7628,88,410,6
165934,34836971.86,119,408,6
165934,57965.61968,120,407,6
165934,15489563.68,119,407,6
165934,4142.041221,120,409,6
165934,25996833.67,119,409,6
165934,331360.3514,118,409,6
165942,15888347.55,104,411,11
165942,294072.1179,104,408,11
165942,6485696.646,106,409,11
165942,22275453.21,105,409,11
165942,27556258.66,104,409,11
165942,10357.51035,103,409,11
165942,41694514.06,104,410,11
165942,1303047.879,103,410,11
165942,9380830.083,105,411,11
165942,7617324.097,106,410,11
165942,40099083.61,105,410,11
165968,28921571.94,121,408,12
165968,5971834.228,119,408,12
165968,26068155.52,120,407,12
165968,1124130.261,119,407,12
165968,18350680.31,122,407,12
165968,22958850.08,121,407,12
165968,19934138.11,123,407,12
165968,24062028.66,123,408,12
165968,24987143.64,122,408,12
165968,3675999.463,120,409,12
165968,200885.6363,119,409,12
165968,45573047.16,120,408,12
165973,3218003.983,124,408,10
165973,17668300.01,121,408,10
165973,32229783.39,123,409,10
165973,19256479.95,123,408,10
165973,40251522.82,122,409,10
165973,34252752.04,121,409,10
165973,21602727.63,122,408,10
165973,24056242.76,120,409,10
165973,977576.6762,119,409,10
165973,1016824.781,120,408,10
165980,18622522.04,95,413,23
165980,3503972.604,92,411,23
165980,3479690.151,95,411,23
165980,14496.60762,92,408,23
165980,1580097.756,90,408,23
165980,13685777.79,93,409,23
165980,33225769.49,92,409,23
165980,45179573.83,91,409,23
165980,7325489.312,90,409,23
165980,6626812.149,91,408,23
165980,10741337.66,91,410,23
165980,34841933.91,93,411,23
165980,46460025.52,93,410,23
165980,44242924.07,92,410,23
165980,44292718.22,94,411,23
165980,22854859.91,94,410,23
165980,2772020.084,96,413,23
165980,39390.7272,96,412,23
165980,36852980.96,94,413,23
165980,20467162.87,95,412,23
165980,46628253.67,94,412,23
165980,17795663.51,93,413,23
165980,24124671.36,93,412,23
165982,8463556.485,99,408,10
165982,20165559.79,97,408,10
165982,7483047.749,95,408,10
165982,641810.5756,96,407,10
165982,6583857.634,99,409,10
165982,30130845.52,98,409,10
165982,29339671.73,97,409,10
165982,7259073.468,96,409,10
165982,7272961.751,98,408,10
165982,35923826.66,96,408,10
165983,2381518.281,99,408,5
165983,1565742.108,101,409,5
165983,14415718.82,100,409,5
165983,22235864.5,99,409,5
165983,608945.4374,98,409,5
166002,600485.1963,90,408,2
166002,5710876.66,91,408,2
166003,16519450.1,95,408,18
166003,45504977.33,92,408,18
166003,35196.32209,91,407,18
166003,2151091.959,93,407,18
166003,1844685.332,92,407,18
166003,89026.02754,95,407,18
166003,13812808.14,94,407,18
166003,900956.8931,95,409,18
166003,42851422.26,94,409,18
166003,46589871.27,94,408,18
166003,32916880.92,93,409,18
166003,13376889.22,92,409,18
166003,45941837.26,93,408,18
166003,49702.81708,91,409,18
166003,21702988.55,91,408,18
166003,155364.4365,93,410,18
166003,252735.5028,95,410,18
166003,20143004.33,94,410,18
166008,1853386.497,88,408,6
166008,142897.0607,88,409,6
166008,27022350.18,87,409,6
166008,17877303.78,87,408,6
166008,219536.4544,86,409,6
166008,1056487.139,87,410,6
166009,44409288.99,90,408,14
166009,1076794.591,88,408,14
166009,9379600.218,90,406,14
166009,15276235.48,89,407,14
166009,4769074.241,91,407,14
166009,44985175.57,90,407,14
166009,18256979.53,91,406,14
166009,4496303.377,91,405,14
166009,357968.1518,90,405,14
166009,10452546.24,90,409,14
166009,167704.092,91,408,14
166009,16085859.68,89,409,14
166009,28994.49325,88,409,14
166009,41326646.89,89,408,14
166013,1602625.874,86,413,19
166013,2708452.683,84,411,19
166013,46628068.36,86,411,19
166013,16019974.42,86,408,19
166013,3140108.134,87,409,19
166013,4085684.019,87,408,19
166013,46383122.25,86,409,19
166013,15940756.1,85,409,19
166013,10354.71339,85,408,19
166013,1444169.749,84,410,19
166013,40507744.86,85,411,19
166013,46615389.96,86,410,19
166013,38711985.38,85,410,19
166013,13168107.79,87,411,19
166013,19276227.17,87,410,19
166013,3928838.648,87,413,19
166013,29074672.08,87,412,19
166013,44279360.89,86,412,19
166013,6605895.836,85,412,19
166014,5366932.345,87,408,1
166017,20688983.15,108,408,22
166017,45016138.47,106,408,22
166017,378980.4796,104,408,22
166017,32402247.31,104,406,22
166017,1614419.221,106,406,22
166017,4348818.334,104,407,22
166017,2909288.476,104,405,22
166017,37564647.3,106,407,22
166017,37811558.04,105,407,22
166017,13959945.77,105,406,22
166017,11955553.43,107,407,22
166017,1607149.879,109,409,22
166017,26871208.66,108,409,22
166017,46457653.47,107,409,22
166017,46206848.29,107,408,22
166017,40116961.39,106,409,22
166017,24194664.44,105,409,22
166017,8077930.402,105,408,22
166017,2400288.935,104,409,22
166017,12328399.66,106,410,22
166017,1012990.479,108,410,22
166017,7523979.659,107,410,22
166072,26919351.72,86,408,5
166072,4850785.926,86,407,5
166072,4242076.484,87,407,5
166072,4486722.6,87,408,5
166072,1002203.252,85,408,5
166073,1070398.006,92,408,12
166073,31987740.97,92,406,12
166073,41772760.96,91,407,12
166073,724591.5804,90,407,12
166073,25130827.18,91,406,12
166073,44425940.23,93,407,12
166073,44732346.86,92,407,12
166073,13544164.24,93,406,12
166073,14529921.65,94,407,12
166073,18628.114,94,406,12
166073,648034.6816,93,408,12
166073,12381489.82,91,408,12
166078,14916043.92,88,406,10
166078,6668323.338,86,406,10
166078,17159118.62,86,407,10
166078,647657.5324,86,405,10
166078,370500.8483,88,407,10
166078,31050107.03,87,407,10
166078,46564136.1,87,406,10
166078,78621.51555,89,405,10
166078,32365363.86,88,405,10
166078,11578973.22,87,405,10
166097,3095679.893,86,408,9
166097,27431004.31,84,408,9
166097,84884.94919,86,407,9
166097,14125449.64,85,407,9
166097,30661902.61,85,409,9
166097,45542117.5,85,408,9
166097,36022562.14,84,409,9
166097,9987496.655,84,410,9
166097,7903404.575,85,410,9
166098,32870256.45,101,408,10
166098,3964595.16,102,407,10
166098,8034675.548,101,407,10
166098,13276604,104,409,10
166098,45714040.98,103,409,10
166098,9055871.011,103,408,10
166098,39054355.35,102,409,10
166098,13372792.47,101,409,10
166098,37022096.91,102,408,10
166098,5245219.793,103,410,10
166100,554865.9209,86,408,4
166100,2247755.956,86,406,4
166100,22294396.8,86,407,4
166100,2674649.739,85,407,4
166109,1573732.808,106,408,14
166109,45916819.35,104,408,14
166109,36104801.8,102,407,14
166109,335354.2238,101,407,14
166109,19973477.09,104,407,14
166109,45691142.79,103,407,14
166109,5406150.768,103,406,14
166109,1405760.463,105,407,14
166109,132541.0541,105,409,14
166109,37588542.81,105,408,14
166109,3369507.112,104,409,14
166109,213308.6802,103,409,14
166109,37534000.93,103,408,14
166109,9567774.366,102,408,14
166119,31648092.85,88,406,14
166119,31634214.7,88,408,14
166119,37184536.56,90,406,14
166119,16549.17634,89,404,14
166119,31300796.71,89,407,14
166119,46206531.34,88,407,14
166119,11284848,87,407,14
166119,46564136.77,89,406,14
166119,31953742.21,89,405,14
166119,2124895.858,88,405,14
166119,867265.0352,90,407,14
166119,5439880.547,90,405,14
166119,5141041.529,89,408,14
166119,14773228.53,87,408,14
166156,14488.58737,81,406,14
166156,33686848.53,81,408,14
166156,17468219.54,79,408,14
166156,7482136.012,80,407,14
166156,130433.0217,79,407,14
166156,10217987.32,82,407,14
166156,34296232.32,81,407,14
166156,337374.9882,82,406,14
166156,17723380.09,81,409,14
166156,465840.8682,82,408,14
166156,42223588.01,80,409,14
166156,27586037.68,79,409,14
166156,46589871.94,80,408,14
166156,153292.4023,80,410,14
166176,80811.67884,81,411,21
166176,25843141.15,84,411,21
166176,18999448.26,84,408,21
166176,285789.4193,81,408,21
166176,11310917.12,84,406,21
166176,7376308.976,82,407,21
166176,35547746.92,84,407,21
166176,45854650.8,83,407,21
166176,13740750.96,83,406,21
166176,10580096.56,84,409,21
166176,46602658.04,83,409,21
166176,46589871.27,83,408,21
166176,45623088.25,82,409,21
166176,27118842.46,81,409,21
166176,31523854.56,82,408,21
166176,23333361.48,82,411,21
166176,46615389.96,82,410,21
166176,14224336.8,81,410,21
166176,35664210.93,83,411,21
166176,35183723.55,84,410,21
166176,46615389.29,83,410,21
166177,159419.3762,84,408,14
166177,6016543.861,84,406,14
166177,37648057.48,86,406,14
166177,103432.2063,88,404,14
166177,6780753.708,87,404,14
166177,11029285.27,84,407,14
166177,2187845.895,86,407,14
166177,29776932.8,85,407,14
166177,43404310.99,85,406,14
166177,19720425.25,86,405,14
166177,14121556.48,85,405,14
166177,8928944.694,88,405,14
166177,33193140.17,87,405,14
166177,35196.476,85,408,14
166182,32688473.98,110,408,17
166182,18277492.9,109,407,17
166182,36653758.33,111,407,17
166182,28829575.89,110,407,17
166182,4470597.609,111,406,17
166182,623174.3902,112,407,17
166182,3776291.017,114,409,17
166182,18016721.66,113,409,17
166182,39841473.24,112,409,17
166182,21142406.26,112,408,17
166182,15947195.33,111,409,17
166182,271295.9734,110,409,17
166182,46589871.94,111,408,17
166182,3107729.118,109,408,17
166182,9334555.431,113,410,17
166182,184365.6714,112,410,17
166182,1468714.304,114,410,17
166183,623349.6116,115,408,14
166183,39601854.5,113,408,14
166183,8476442.109,111,407,14
166183,12693147.41,111,406,14
166183,15984207.52,113,407,14
166183,37477542.34,112,407,14
166183,9506072.33,112,406,14
166183,25705714.6,115,409,14
166183,41009685.51,114,409,14
166183,6150536.183,114,408,14
166183,28585937.05,113,409,14
166183,60057.98178,112,409,14
166183,25447465.68,112,408,14
166183,45573.38008,115,410,14
166185,32715845.71,81,406,16
166185,24087598.45,79,408,16
166185,46564136.1,79,406,16
166185,15276900,78,407,16
166185,19755598.17,78,406,16
166185,8795760.434,78,405,16
166185,39094896.18,80,407,16
166185,46446598.5,79,407,16
166185,46564136.77,80,406,16
166185,21663222.09,80,405,16
166185,19722648.12,79,405,16
166185,12280799.87,81,407,16
166185,740952.0452,82,406,16
166185,1284980.922,81,405,16
166185,37277.15335,79,409,16
166185,1049709.657,78,408,16
166192,13541973.87,115,406,20
166192,5781065.857,119,408,20
166192,46583660.82,117,408,20
166192,45966522.33,115,408,20
166192,207017.5677,113,407,20
166192,46268629.28,115,407,20
166192,43749148.91,114,407,20
166192,14821108.89,114,406,20
166192,15850051.29,118,407,20
166192,8283326.419,117,407,20
166192,17420692.2,116,407,20
166192,4784342.577,119,407,20
166192,1824680.342,119,409,20
166192,37185933.89,118,409,20
166192,25656856.79,117,409,20
166192,14294293.38,116,409,20
166192,46589871.27,118,408,20
166192,46546393.99,116,408,20
166192,3087831.749,115,409,20
166192,22761899.68,114,408,20
166194,16987973.38,75,406,14
166194,4975538.541,77,408,14
166194,24204686.98,75,408,14
166194,9804040.988,77,406,14
166194,3136517.828,73,407,14
